Tipo,Pregunta,Opción A,Opción B,Opción C,Opción D,Opción E,Respuesta Correcta
Tema 1,1H,A)1,B)1,C)1,D) 1,E)1,A
Tema 1,2H,A)2,B)2,C)2,D) 2,E)2,B
Tema 1,3H,A)3,B)3,C)3,D) 3,E)3,C
Tema 1,4H,A)4,B)4,C)4,D) 4,E)4,D
Tema 1,5H,A)5,B)5,C)5,D) 5,E)5,A
Tema 1,6H,A)6,B)6,C)6,D) 6,E)6,B
Tema 1,7H,A)7,B)7,C)7,D) 7,E)7,C
Tema 1,8H,A)8,B)8,C)8,D) 8,E)8,D
Tema 1,9H,A)9,B)9,C)9,D) 9,E)9,A
Tema 1,10H,A)10,B)10,C)10,D) 10,E)10,B
Tema 1,11H,A)11,B)11,C)11,D) 11,E)11,C
Tema 1,12H,A)12,B)12,C)12,D) 12,E)12,D
Tema 1,13H,A)13,B)13,C)13,D) 13,E)13,A
Tema 1,14H,A)14,B)14,C)14,D) 14,E)14,B
Tema 1,15H,A)15,B)15,C)15,D) 15,E)15,C
Tema 2,1P,A)16,B)16,C)16,D) 16,E)16,D
Tema 2,2P,A)17,B)17,C)17,D) 17,E)17,A
Tema 2,3P,A)18,B)18,C)18,D) 18,E)18,B
Tema 2,4P,A)19,B)19,C)19,D) 19,E)19,C
Tema 2,5P,A)20,B)20,C)20,D) 20,E)20,D
Tema 2,6P,A)21,B)21,C)21,D) 21,E)21,A
Tema 2,7P,A)22,B)22,C)22,D) 22,E)22,B
Tema 2,8P,A)23,B)23,C)23,D) 23,E)23,C
Tema 2,9P,A)24,B)24,C)24,D) 24,E)24,D
Tema 2,10P,A)25,B)25,C)25,D) 25,E)25,A
Tema 2,11P,A)26,B)26,C)26,D) 26,E)26,B
Tema 2,12P,A)27,B)27,C)27,D) 27,E)27,C
Tema 2,13P,A)28,B)28,C)28,D) 28,E)28,D
Tema 2,14P,A)29,B)29,C)29,D) 29,E)29,A
Tema 2,15P,A)30,B)30,C)30,D) 30,E)30,B
Tema 3,1P,A)31,B)31,C)31,D) 31,E)31,C
Tema 3,2P,A)32,B)32,C)32,D) 32,E)32,D
Tema 3,3P,A)33,B)33,C)33,D) 33,E)33,A
Tema 3,4P,A)34,B)34,C)34,D) 34,E)34,B
Tema 3,5P,A)35,B)35,C)35,D) 35,E)35,C
Tema 3,6P,A)36,B)36,C)36,D) 36,E)36,D
Tema 3,7P,A)37,B)37,C)37,D) 37,E)37,A
Tema 3,8P,A)38,B)38,C)38,D) 38,E)38,B
Tema 3,9P,A)39,B)39,C)39,D) 39,E)39,C
Tema 3,10P,A)40,B)40,C)40,D) 40,E)40,D
Tema 3,11P,A)41,B)41,C)41,D) 41,E)41,A
Tema 3,12P,A)42,B)42,C)42,D) 42,E)42,B
Tema 3,13P,A)43,B)43,C)43,D) 43,E)43,C
Tema 3,14P,A)44,B)44,C)44,D) 44,E)44,D
Tema 3,15P,A)45,B)45,C)45,D) 45,E)45,A
